"1/1/2014","1388530800","43","0","0","0","0","0","0.00"
"1/1/2015","1420066800","47","41","30","47","0","34","44.00"
"1/10/2014","1389308400","41","0","0","0","0","0","19.50"
"1/10/2015","1420844400","50","51","33","46","0","33","0.00"
"1/11/2014","1389394800","42","0","0","0","0","0","17.00"
"1/11/2015","1420930800","27","34","32","30","0","33","0.00"
"1/12/2014","1389481200","43","0","0","0","0","0","27.00"
"1/12/2015","1421017200","46","22","29","46","0","32","0.00"
"1/13/2014","1389567600","38","0","0","0","0","0","33.00"
"1/13/2015","1421103600","41","34","28","46","0","28","0.00"
"1/14/2014","1389654000","40","0","0","0","0","0","38.50"
"1/14/2015","1421190000","48","36","28","46","0","28","0.00"
"1/15/2014","1389740400","43","0","0","0","0","0","39.00"
"1/15/2015","1421276400","48","45","32","46","0","32","0.00"
"1/16/2014","1389826800","42","0","0","0","0","0","37.00"
"1/16/2015","1421362800","46","35","27","46","0","32","0.00"
"1/17/2014","1389913200","43","0","0","0","0","0","33.00"
"1/17/2015","1421449200","36","35","27","46","0","32","0.00"
"1/18/2014","1389999600","46","0","0","0","0","0","28.50"
"1/18/2015","1421535600","49","24","30","49","0","28","0.00"
"1/19/2014","1390086000","44","0","0","0","0","0","34.00"
"1/19/2015","1421622000","39","36","33","45","0","25","0.00"
"1/2/2014","1388617200","43","0","0","0","0","0","0.00"
"1/2/2015","1420153200","46","58","28","48","0","31","0.00"
"1/20/2014","1390172400","44","0","0","0","0","0","35.00"
"1/20/2015","1421708400","49","28","30","46","0","35","0.00"
"1/21/2014","1390258800","45","0","0","0","0","0","35.00"
"1/21/2015","1421794800","40","31","32","49","0","32","0.00"
"1/22/2014","1390345200","44","0","0","0","0","0","31.50"
"1/22/2015","1421881200","38","29","32","46","0","36","0.00"
"1/23/2014","1390431600","42","0","0","0","0","0","36.00"
"1/23/2015","1421967600","45","29","32","46","0","32","0.00"
"1/24/2014","1390518000","38","0","0","0","0","0","30.50"
"1/24/2015","1422054000","50","23","33","47","0","34","0.00"
"1/25/2014","1390604400","49","0","0","0","0","0","28.50"
"1/25/2015","1422140400","40","23","29","46","0","32","0.00"
"1/26/2014","1390690800","42","0","0","0","0","0","27.00"
"1/26/2015","1422226800","17","25","28","31","0","31","0.00"
"1/27/2014","1390777200","41","0","0","0","0","0","28.00"
"1/27/2015","1422313200","63","54","28","66","0","34","0.00"
"1/28/2014","1390863600","44","0","0","0","0","0","34.00"
"1/28/2015","1422399600","44","53","28","41","0","29","0.00"
"1/29/2014","1390950000","41","0","0","0","0","0","35.50"
"1/29/2015","1422486000","29","39","27","50","0","34","0.00"
"1/3/2014","1388703600","42","0","0","0","0","0","0.00"
"1/3/2015","1420239600","44","42","28","46","0","32","0.00"
"1/30/2014","1391036400","34","0","0","0","0","0","24.00"
"1/30/2015","1422572400","37","31","31","46","0","35","34.50"
"1/31/2014","1391122800","38","0","0","0","0","0","24.00"
"1/31/2015","1422658800","39","40","32","46","0","37","39.50"
"1/4/2014","1388790000","41","0","0","0","0","0","0.00"
"1/4/2015","1420326000","43","59","28","46","0","32","0.00"
"1/5/2014","1388876400","44","0","0","0","0","0","0.00"
"1/5/2015","1420412400","47","20","28","49","0","28","0.00"
"1/6/2014","1388962800","45","0","0","0","0","0","0.00"
"1/6/2015","1420498800","47","51","26","46","0","29","0.00"
"1/7/2014","1389049200","43","0","0","0","0","0","0.00"
"1/7/2015","1420585200","44","53","27","46","0","28","0.00"
"1/8/2014","1389135600","42","0","0","0","0","0","0.00"
"1/8/2015","1420671600","47","27","33","46","0","33","0.00"
"1/9/2014","1389222000","42","0","0","0","0","0","0.00"
"1/9/2015","1420758000","42","55","30","46","0","30","0.00"
"10/1/2014","1412114400","44","34","38","47","0","0","0.00"
"10/10/2014","1412892000","42","31","33","47","0","37","0.00"
"10/11/2014","1412978400","48","38","32","47","0","33","0.00"
"10/12/2014","1413064800","45","47","32","47","0","35","0.00"
"10/13/2014","1413151200","40","28","33","46","0","38","0.00"
"10/14/2014","1413237600","48","32","37","50","0","39","0.00"
"10/15/2014","1413324000","40","20","31","48","0","38","0.00"
"10/16/2014","1413410400","48","42","38","50","0","40","0.00"
"10/17/2014","1413496800","45","37","32","48","0","31","39.00"
"10/18/2014","1413583200","46","25","35","48","0","34","39.00"
"10/19/2014","1413669600","42","27","33","48","0","33","40.00"
"10/2/2014","1412200800","39","30","29","47","0","0","0.00"
"10/20/2014","1413756000","23","32","34","31","0","34","38.50"
"10/21/2014","1413842400","54","28","36","69","0","36","42.00"
"10/22/2014","1413928800","50","36","34","48","0","34","42.00"
"10/23/2014","1414015200","49","25","37","48","0","36","41.00"
"10/24/2014","1414101600","44","40","34","46","0","32","0.00"
"10/25/2014","1414188000","48","44","36","49","0","38","0.00"
"10/26/2014","1414274400","43","34","36","48","0","39","0.00"
"10/27/2014","1414364400","54","32","37","49","0","41","0.00"
"10/28/2014","1414450800","52","29","36","46","0","42","0.00"
"10/29/2014","1414537200","43","28","36","46","0","42","0.00"
"10/3/2014","1412287200","30","47","20","31","0","21","0.00"
"10/30/2014","1414623600","49","31","38","48","0","38","0.00"
"10/31/2014","1414710000","47","39","35","47","0","32","0.00"
"10/4/2014","1412373600","36","69","16","31","0","16","0.00"
"10/5/2014","1412460000","44","28","27","45","0","29","0.00"
"10/6/2014","1412546400","26","31","24","31","0","24","0.00"
"10/7/2014","1412632800","58","25","26","69","0","26","0.00"
"10/8/2014","1412719200","44","25","25","47","0","29","0.00"
"10/9/2014","1412805600","38","22","31","54","0","26","0.00"
"11/1/2014","1414796400","49","26","37","47","0","37","0.00"
"11/10/2014","1415574000","45","18","34","46","0","30","30.50"
"11/11/2014","1415660400","32","23","29","46","0","31","28.50"
"11/12/2014","1415746800","44","45","34","43","0","33","26.50"
"11/13/2014","1415833200","45","40","31","46","0","32","28.00"
"11/14/2014","1415919600","41","28","27","46","0","27","24.50"
"11/15/2014","1416006000","48","27","26","46","0","26","24.00"
"11/16/2014","1416092400","56","44","33","58","0","33","29.00"
"11/17/2014","1416178800","22","31","33","30","0","31","29.00"
"11/18/2014","1416265200","69","30","32","70","0","32","33.00"
"11/19/2014","1416351600","48","37","33","46","0","33","29.50"
"11/2/2014","1414882800","44","34","36","47","0","36","0.00"
"11/20/2014","1416438000","50","23","33","46","0","35","27.00"
"11/21/2014","1416524400","46","41","29","47","0","36","36.00"
"11/22/2014","1416610800","42","25","29","46","0","33","32.00"
"11/23/2014","1416697200","50","31","34","50","0","33","33.00"
"11/24/2014","1416783600","44","22","34","46","0","34","38.00"
"11/25/2014","1416870000","45","32","37","48","0","34","37.00"
"11/26/2014","1416956400","35","23","34","46","0","42","42.00"
"11/27/2014","1417042800","60","27","39","50","0","42","43.00"
"11/28/2014","1417129200","47","34","37","46","0","38","0.00"
"11/29/2014","1417215600","52","25","32","46","0","32","0.00"
"11/3/2014","1414969200","32","27","31","30","0","31","0.00"
"11/30/2014","1417302000","53","24","33","46","0","35","0.00"
"11/4/2014","1415055600","57","32","34","56","0","34","0.00"
"11/5/2014","1415142000","48","22","35","47","0","34","0.00"
"11/6/2014","1415228400","48","22","35","47","0","35","0.00"
"11/7/2014","1415314800","40","25","30","46","0","36","26.50"
"11/8/2014","1415401200","52","18","34","48","0","34","26.00"
"11/9/2014","1415487600","44","21","32","46","0","29","29.50"
"12/1/2014","1417388400","17","31","35","30","0","37","0.00"
"12/10/2014","1418166000","47","44","37","49","0","32","0.00"
"12/11/2014","1418252400","48","45","35","49","0","35","0.00"
"12/12/2014","1418338800","34","27","31","46","0","32","0.00"
"12/13/2014","1418425200","49","29","29","46","0","21","0.00"
"12/14/2014","1418511600","42","14","31","46","0","29","0.00"
"12/15/2014","1418598000","25","29","33","30","0","33","0.00"
"12/16/2014","1418684400","63","37","33","67","0","34","0.00"
"12/17/2014","1418770800","49","22","34","46","0","34","0.00"
"12/18/2014","1418857200","45","33","32","46","0","32","0.00"
"12/19/2014","1418943600","46","27","31","47","0","33","37.00"
"12/2/2014","1417474800","74","27","35","75","0","35","0.00"
"12/20/2014","1419030000","50","26","32","47","0","41","44.50"
"12/21/2014","1419116400","55","43","29","51","0","32","38.50"
"12/22/2014","1419202800","52","36","30","49","0","32","35.00"
"12/23/2014","1419289200","43","30","30","49","0","32","35.50"
"12/24/2014","1419375600","46","55","32","53","0","32","34.00"
"12/25/2014","1419462000","36","27","32","46","0","32","42.00"
"12/26/2014","1419548400","47","39","29","46","0","29","38.00"
"12/27/2014","1419634800","29","54","26","46","0","26","36.50"
"12/28/2014","1419721200","37","55","26","46","0","27","39.00"
"12/29/2014","1419807600","35","22","35","28","0","33","36.50"
"12/3/2014","1417561200","46","35","37","46","0","37","0.00"
"12/30/2014","1419894000","43","28","32","17","0","36","44.50"
"12/31/2014","1419980400","44","47","31","53","0","38","46.50"
"12/4/2014","1417647600","50","32","37","46","0","40","0.00"
"12/5/2014","1417734000","49","40","31","46","0","36","0.00"
"12/6/2014","1417820400","53","20","33","46","0","33","0.00"
"12/7/2014","1417906800","51","26","33","51","0","33","0.00"
"12/8/2014","1417993200","52","37","39","46","0","33","0.00"
"12/9/2014","1418079600","49","31","29","49","0","27","0.00"
"2/1/2014","1391209200","45","0","0","0","0","0","24.00"
"2/1/2015","1422745200","42","20","35","43","0","36","42.00"
"2/10/2014","1391986800","42","0","0","0","0","0","24.00"
"2/10/2015","1423522800","13","13","13","69","0","30","0.00"
"2/11/2014","1392073200","38","0","0","0","0","0","25.00"
"2/11/2015","1423609200","13","13","13","13","0","13","0.00"
"2/12/2014","1392159600","42","0","0","0","0","0","29.50"
"2/12/2015","1423695600","13","13","13","13","0","13","0.00"
"2/13/2014","1392246000","40","0","0","0","0","0","30.00"
"2/13/2015","1423782000","13","13","13","13","0","13","0.00"
"2/14/2014","1392332400","33","0","0","0","0","0","22.50"
"2/14/2015","1423868400","13","16","13","13","0","13","0.00"
"2/15/2014","1392418800","42","0","0","0","0","0","27.50"
"2/15/2015","1423954800","13","59","13","13","0","13","0.00"
"2/16/2014","1392505200","40","0","0","0","0","0","29.50"
"2/16/2015","1424041200","13","60","13","13","0","13","0.00"
"2/17/2014","1392591600","47","0","0","0","0","0","27.00"
"2/17/2015","1424127600","13","39","13","13","0","13","0.00"
"2/18/2014","1392678000","48","0","0","0","0","0","30.00"
"2/18/2015","1424214000","13","18","13","13","0","13","0.00"
"2/19/2014","1392764400","40","0","0","0","0","0","22.00"
"2/19/2015","1424300400","13","38","13","13","0","13","0.00"
"2/2/2014","1391295600","41","0","0","0","0","0","22.50"
"2/2/2015","1422831600","42","38","36","46","0","37","42.00"
"2/20/2014","1392850800","41","0","0","0","0","0","25.00"
"2/20/2015","1424386800","13","31","13","13","0","13","17.00"
"2/21/2014","1392937200","32","0","0","0","0","0","23.00"
"2/21/2015","1424473200","13","13","13","13","0","13","17.00"
"2/22/2014","1393023600","41","0","0","0","0","0","25.00"
"2/22/2015","1424559600","13","13","13","13","0","13","17.00"
"2/23/2014","1393110000","39","0","0","0","0","0","23.50"
"2/23/2015","1424646000","13","84","13","13","0","13","17.00"
"2/24/2014","1393196400","40","0","0","0","0","0","24.00"
"2/24/2015","1424732400","13","56","13","13","0","13","17.00"
"2/25/2014","1393282800","45","0","0","0","0","0","24.00"
"2/25/2015","1424818800","13","38","13","13","0","13","17.00"
"2/26/2014","1393369200","43","0","0","0","0","0","26.00"
"2/26/2015","1424905200","13","41","13","13","0","13","17.00"
"2/27/2014","1393455600","39","0","0","0","0","0","17.50"
"2/27/2015","1424991600","13","51","13","13","0","13","17.00"
"2/28/2014","1393542000","34","0","0","0","0","0","25.00"
"2/28/2015","1425078000","13","68","13","13","0","13","17.00"
"2/3/2014","1391382000","42","0","0","0","0","0","27.50"
"2/3/2015","1422918000","48","39","34","46","0","36","42.00"
"2/4/2014","1391468400","47","0","0","0","0","0","27.00"
"2/4/2015","1423004400","40","41","34","46","0","37","41.00"
"2/5/2014","1391554800","45","0","0","0","0","0","28.50"
"2/5/2015","1423090800","32","37","36","49","0","38","41.00"
"2/6/2014","1391641200","43","0","0","0","0","0","29.00"
"2/6/2015","1423177200","59","44","29","61","0","28","0.00"
"2/7/2014","1391727600","42","0","0","0","0","0","25.00"
"2/7/2015","1423263600","47","55","33","46","0","30","0.00"
"2/8/2014","1391814000","44","0","0","0","0","0","20.00"
"2/8/2015","1423350000","39","41","32","46","0","32","0.00"
"2/9/2014","1391900400","42","0","0","0","0","0","24.50"
"2/9/2015","1423436400","23","20","34","30","0","34","0.00"
"3/1/2014","1393628400","46","0","0","0","0","0","24.50"
"3/1/2015","1425164400","13","79","13","13","0","13","17.00"
"3/10/2014","1394406000","43","0","0","0","0","0","34.50"
"3/10/2015","1425942000","13","84","13","13","0","13","17.00"
"3/11/2014","1394492400","43","0","0","0","0","0","37.00"
"3/11/2015","1426028400","13","88","13","13","0","13","17.00"
"3/12/2014","1394578800","39","0","0","0","0","0","35.50"
"3/12/2015","1426114800","13","72","13","13","0","13","17.00"
"3/13/2014","1394665200","43","0","0","0","0","0","36.50"
"3/13/2015","1426201200","13","91","13","13","0","13","0.00"
"3/14/2014","1394751600","45","0","0","0","0","0","27.50"
"3/14/2015","1426287600","13","39","13","13","0","13","0.00"
"3/15/2014","1394838000","43","0","0","0","0","0","24.50"
"3/15/2015","1426374000","36","32","24","13","0","13","0.00"
"3/16/2014","1394924400","40","0","0","0","0","0","24.00"
"3/16/2015","1426460400","20","30","22","29","0","13","0.00"
"3/17/2014","1395010800","44","0","0","0","0","0","19.50"
"3/17/2015","1426546800","31","30","13","29","0","13","0.00"
"3/18/2014","1395097200","41","0","0","0","0","0","32.00"
"3/18/2015","1426633200","13","13","13","13","0","13","0.00"
"3/19/2014","1395183600","34","0","0","0","0","0","27.50"
"3/19/2015","1426719600","13","35","13","13","0","13","0.00"
"3/2/2014","1393714800","40","0","0","0","0","0","24.00"
"3/2/2015","1425250800","13","54","13","13","0","13","17.00"
"3/20/2014","1395270000","43","0","0","0","0","0","29.50"
"3/20/2015","1426806000","20","41","20","13","0","20","26.50"
"3/21/2014","1395356400","39","0","0","0","0","0","19.50"
"3/21/2015","1426892400","17","44","13","13","0","24","29.00"
"3/22/2014","1395442800","46","0","0","0","0","0","24.50"
"3/22/2015","1426978800","13","13","13","13","0","13","30.00"
"3/23/2014","1395529200","34","0","0","0","0","0","23.00"
"3/23/2015","1427065200","21","34","22","13","0","13","34.50"
"3/24/2014","1395615600","42","0","0","0","0","0","27.50"
"3/24/2015","1427151600","32","23","21","13","0","22","37.50"
"3/25/2014","1395702000","43","0","0","0","0","0","28.00"
"3/25/2015","1427238000","34","35","21","13","0","21","34.00"
"3/26/2014","1395788400","47","0","0","0","0","0","30.50"
"3/26/2015","1427324400","26","26","21","13","0","23","32.50"
"3/27/2014","1395874800","42","0","0","0","0","0","23.00"
"3/27/2015","1427410800","26","30","13","33","0","21","32.50"
"3/28/2014","1395961200","36","0","0","0","0","0","34.00"
"3/28/2015","1427497200","33","22","13","13","0","13","36.50"
"3/29/2014","1396047600","28","0","0","0","0","0","37.00"
"3/29/2015","1427583600","24","33","27","13","0","13","33.50"
"3/3/2014","1393801200","40","0","0","0","0","0","27.00"
"3/3/2015","1425337200","13","62","13","13","0","13","17.00"
"3/30/2014","1396134000","43","0","0","0","0","0","36.50"
"3/30/2015","1427666400","33","29","13","13","0","33","39.50"
"3/31/2014","1396216800","41","0","0","0","0","0","36.50"
"3/31/2015","1427752800","27","34","23","13","0","13","40.00"
"3/4/2014","1393887600","34","0","0","0","0","0","27.00"
"3/4/2015","1425423600","13","42","13","13","0","13","17.00"
"3/5/2014","1393974000","46","0","0","0","0","0","22.00"
"3/5/2015","1425510000","13","92","13","13","0","13","17.00"
"3/6/2014","1394060400","41","0","0","0","0","0","22.50"
"3/6/2015","1425596400","13","74","13","13","0","13","17.00"
"3/7/2014","1394146800","30","0","0","0","0","0","27.50"
"3/7/2015","1425682800","13","73","13","13","0","13","17.00"
"3/8/2014","1394233200","48","0","0","0","0","0","19.50"
"3/8/2015","1425769200","13","77","13","13","0","13","17.00"
"3/9/2014","1394319600","38","0","0","0","0","0","25.50"
"3/9/2015","1425855600","13","75","13","13","0","13","17.00"
"4/1/2014","1396303200","40","0","0","0","0","0","39.00"
"4/1/2015","1427839200","26","37","21","33","0","25","40.00"
"4/10/2014","1397080800","17","0","0","0","0","0","0.00"
"4/10/2015","1428616800","38","31","31","39","0","33","0.00"
"4/11/2014","1397167200","44","0","0","0","0","0","31.00"
"4/11/2015","1428703200","40","42","31","43","0","35","0.00"
"4/12/2014","1397253600","42","0","0","0","0","0","27.50"
"4/12/2015","1428789600","31","18","28","40","0","31","0.00"
"4/13/2014","1397340000","40","0","0","0","0","0","27.00"
"4/13/2015","1428876000","39","32","28","43","0","28","0.00"
"4/14/2014","1397426400","44","0","0","0","0","0","30.50"
"4/14/2015","1428962400","35","35","26","40","0","28","0.00"
"4/15/2014","1397512800","46","0","0","0","0","0","35.00"
"4/15/2015","1429048800","30","23","27","13","0","26","0.00"
"4/16/2014","1397599200","44","0","0","0","0","0","37.50"
"4/16/2015","1429135200","24","33","27","33","0","34","0.00"
"4/17/2014","1397685600","44","0","0","0","0","0","35.50"
"4/17/2015","1429221600","38","35","28","41","0","28","39.00"
"4/18/2014","1397772000","44","0","0","0","0","0","28.00"
"4/18/2015","1429308000","34","33","27","41","0","27","37.50"
"4/19/2014","1397858400","43","0","0","0","0","0","27.00"
"4/19/2015","1429394400","40","28","26","41","0","26","37.50"
"4/2/2014","1396389600","40","0","0","0","0","0","41.00"
"4/2/2015","1427925600","38","39","25","33","0","25","40.00"
"4/20/2014","1397944800","39","0","0","0","0","0","25.50"
"4/20/2015","1429480800","20","25","26","27","0","26","35.50"
"4/21/2014","1398031200","44","0","0","0","0","0","23.50"
"4/21/2015","1429567200","51","44","30","55","0","30","40.50"
"4/22/2014","1398117600","39","0","0","0","0","0","29.00"
"4/22/2015","1429653600","38","34","29","41","0","29","39.50"
"4/23/2014","1398204000","31","0","0","0","0","0","25.50"
"4/23/2015","1429740000","31","38","29","41","0","29","36.50"
"4/24/2014","1398290400","45","0","0","0","0","0","29.50"
"4/24/2015","1429826400","32","32","28","39","0","29","34.00"
