"1","JB001","1","-21.81156172067873","147.9985355045087","123","1"
"3","JB016","1","-21.81672167340004","147.9979437764723","123","1"
"4","JB017","1","-21.81894443490295","147.9977486024885","123","1"
"5","JB018","1","-21.82170212519121","147.9975105049302","123","1"
"7","JB019","1","-21.82661651484962","147.9973046485725","123","1"
"10","JB020","1","-21.83519758500657","147.996774936329","123","1"
"14","JB021","1","-21.84335501208149","148.0001474153805","123","1"
"16","JB022","1","-21.83815431740588","148.0004262534184","123","1"
"17","JB023","1","-21.83560233143588","148.0006517881949","123","1"
"20","JB024","1","-21.82712120088512","148.0012588859696","123","1"
"23","JB025","1","-21.81932082320505","148.0020347814276","123","1"
"25","JB026","1","-21.81468040501817","148.0026118808113","123","1"
"26","JB015","1","-21.81196870521707","148.0029355434224","123","1"
"27","JB014","1","-21.81246265570523","148.0070459320221","123","1"
"29","JB013","1","-21.81779783264398","148.0064491767918","123","1"
"31","JB002","1","-21.82247062024077","148.0059773844422","123","1"
"33","JB003","1","-21.82756250644305","148.0055325389114","123","1"
"35","JB004","1","-21.83330813468832","148.0049175505994","123","1"
"36","JB005","1","-21.83598902004567","148.0047214786064","123","1"
"37","JB006","1","-21.83860763154284","148.0044921221419","123","1"
"40","JB007","1","-21.84391955512264","148.0080604288815","123","1"
"41","JB008","1","-21.84137647324319","148.0083826165138","123","1"
"43","JB009","1","-21.83638356447264","148.0086688292101","123","1"
"45","JB010","1","-21.83074527206391","148.0091239401489","123","1"
"48","JB011","1","-21.82289147577594","148.009887807024","123","1"
"49","JB012","1","-21.82020578341429","148.0101556948891","123","1"
"52","JB027","1","-21.81249737755645","148.0109709683991","123","1"