"id","name","owner","lng","lat","description"
"1","Leigh Creek",,"138.416595","-30.480358","Name: Leigh Creek<br />State: SA<br />Longitude: 138.416588<br />Latitude: -30.480359<br />Commodities: Coal - black<br />Websites:<br /><br />"
"2","Anglesea",,"144.169968","-38.391750","Name: Anglesea<br />State: VIC<br />Longitude: 144.169962<br />Latitude: -38.391751<br />Commodities: Coal - brown<br />Websites:<br /><br /><a href='http://www.dpi.vic.gov.au'>Department of Primary Industries</a><br /><a href='http://www.alcoa.com.au'>Alcoa of Australia Ltd</a><br />"
"3","Yallourn",,"146.360397","-38.195065","Name: Yallourn<br />State: VIC<br />Longitude: 146.360402<br />Latitude: -38.195064<br />Commodities: Coal - brown<br />Websites:<br /><br /><a href='http://www.clpgroup.com'>CLP Holdings</a><br /><a href='http://www.truenergy.com.au'>TRU Energy</a><br />"
"4","Hazelwood Mine",,"146.391006","-38.268963","Name: Hazelwood Mine<br />State: VIC<br />Longitude: 146.391003<br />Latitude: -38.268964<br />Commodities: Coal - brown<br />Websites:<br /><br /><a href='http://www.hazelwoodpower.com.au'>Hazelwood Power Corporation</a><br /><a href='http://www.ebac.com.au'>Energy Brix Australia</a><br />"
"5","Angus Place",,"150.199020","-33.349155","Name: Angus Place<br />State: NSW<br />Longitude: 150.199019<br />Latitude: -33.349157<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.centennialcoal.com.au'>Centennial Coal Co Ltd</a><br />"
"6","Clarence",,"150.243927","-33.456478","Name: Clarence<br />State: NSW<br />Longitude: 150.243930<br />Latitude: -33.456479<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.centennialcoal.com.au'>Centennial Coal Co Ltd</a><br />"
"7","Mount Owen",,"151.099976","-32.386841","Name: Mount Owen<br />State: NSW<br />Longitude: 151.099981<br />Latitude: -32.386840<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.mining-technology.com/projects/owen/'>Mount Owen Mine</a><br /><a href='http://www.xstrata.com'>Xstrata</a><br />"
"8","Ravensworth UG",,"151.037476","-32.436562","Name: Ravensworth UG<br />State: NSW<br />Longitude: 151.037482<br />Latitude: -32.436562<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.xstrata.com/'>Xstrata plc</a><br />"
"9","Rixs Creek",,"151.129990","-32.526840","Name: Rixs Creek<br />State: NSW<br />Longitude: 151.129982<br />Latitude: -32.526840<br />Commodities: Coal - black<br />Websites:<br /><br />"
"10","Coppabella",,"148.427185","-21.844555","Name: Coppabella<br />State: QLD<br />Longitude: 148.427187<br />Latitude: -21.844554<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.macarthurcoal.com.au'>Macarthur Coal Ltd</a><br />"
"11","Crinum","BHP","148.371002","-23.210106","Name: Crinum<br />State: QLD<br />Longitude: 148.371006<br />Latitude: -23.210105<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.mining-technology.com/projects/crinum/'>Crinum Mine</a><br /><a href='http://www.bmacoal.com'>BMA</a><br />"
"12","Meandu",,"151.911530","-26.813543","Name: Meandu<br />State: QLD<br />Longitude: 151.911523<br />Latitude: -26.813543<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.tarongenergy.com.au'>Tarong Energy</a><br />"
"13","Premier",,"116.286507","-33.391727","Name: Premier<br />State: WA<br />Longitude: 116.286509<br />Latitude: -33.391728<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www1.wesfarmers.com.au'>Wesfarmers</a><br /><a href='http://www.doir.wa.gov.au'>Department of Industry and Resources</a><br />"
"14","West Wallsend",,"151.604813","-32.947910","Name: West Wallsend<br />State: NSW<br />Longitude: 151.604811<br />Latitude: -32.947911<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.xstrata.com'>Xstrata</a><br /><a href='http://www.marubeni.com/'>Marubeni Corporation</a><br />"
"15","Westside",,"151.570007","-32.946823","Name: Westside<br />State: NSW<br />Longitude: 151.570003<br />Latitude: -32.946825<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.xstrata.com'>Xstrata</a><br /><a href='http://www.marubeni.com/'>Marubeni Corporation</a><br />"
"16","Baal Bone",,"150.050003","-33.266853","Name: Baal Bone<br />State: NSW<br />Longitude: 150.050002<br />Latitude: -33.266854<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.xstrata.com'>Xstrata</a><br /><a href='http://www.sumitomocorp.co.jp/english/'>Sumitomo Corporation</a><br />"
"17","Charbon",,"149.977661","-32.896404","Name: Charbon<br />State: NSW<br />Longitude: 149.977664<br />Latitude: -32.896406<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.centennialcoal.com.au'>Centennial Coal Co Ltd</a><br />"
"18","Suttor Creek",,"147.936752","-21.379894","Name: Suttor Creek<br />State: QLD<br />Longitude: 147.936756<br />Latitude: -21.379895<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.itochu.co.jp/main/index_e.html'>Itochu Corporation</a><br />"
"19","Donaldson",,"151.576508","-32.792984","Name: Donaldson<br />State: NSW<br />Longitude: 151.576508<br />Latitude: -32.792984<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.doncoal.com.au'>Donaldson Coal Pty Ltd</a><br />"
"20","Mandalong",,"151.449982","-33.126842","Name: Mandalong<br />State: NSW<br />Longitude: 151.449976<br />Latitude: -33.126841<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.centennialcoal.com.au'>Centennial Coal Co Ltd</a><br />"
"21","Ravensworth Narama",,"151.039978","-32.456841","Name: Ravensworth Narama<br />State: NSW<br />Longitude: 151.039983<br />Latitude: -32.456840<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.iluka.com'>Iluka Resources Ltd</a><br /><a href='http://www.xstrata.com'>Xstrata</a><br />"
"22","Springvale",,"150.105621","-33.400600","Name: Springvale<br />State: NSW<br />Longitude: 150.105627<br />Latitude: -33.400600<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.centennialcoal.com.au'>Centennial Coal Co Ltd</a><br />"
"23","Ivanhoe North",,"150.010010","-33.356853","Name: Ivanhoe North<br />State: NSW<br />Longitude: 150.010004<br />Latitude: -33.356854<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.centennialcoal.com.au'>Centennial Coal Co Ltd</a><br />"
"24","Tasman",,"151.540009","-32.886826","Name: Tasman<br />State: NSW<br />Longitude: 151.540002<br />Latitude: -32.886825<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.ellemby.com'>Ellemby Resources</a><br />"
"25","Baralaba",,"149.803238","-24.164856","Name: Baralaba<br />State: QLD<br />Longitude: 149.803238<br />Latitude: -24.164856<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.cockatoocoal.com.au'>Cockatoo Coal</a><br />"
"26","Lake Lindsay",,"148.753067","-23.034357","Name: Lake Lindsay<br />State: QLD<br />Longitude: 148.753060<br />Latitude: -23.034358<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.anglocoal.com.au/'>Anglo Coal Australia Pty Ltd</a><br />"
"27","Curragh",,"148.854141","-23.466219","Name: Curragh<br />State: QLD<br />Longitude: 148.854144<br />Latitude: -23.466218<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.wesfarmerscoal.com.au'>Wesfarmers Coal Ltd</a><br />"
"28","Jeebropilly",,"152.659348","-27.623016","Name: Jeebropilly<br />State: QLD<br />Longitude: 152.659355<br />Latitude: -27.623017<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.newhopecoal.com.au'>New Hope Coal</a><br />"
"29","Bloomfield",,"151.566956","-32.792191","Name: Bloomfield<br />State: NSW<br />Longitude: 151.566962<br />Latitude: -32.792189<br />Commodities: Coal - black<br />Websites:<br /><br />"
"30","Glendell",,"151.077545","-32.451191","Name: Glendell<br />State: NSW<br />Longitude: 151.077551<br />Latitude: -32.451192<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.xstrata.com'>Xstrata</a><br />"
"31","West Cliff",,"150.824387","-34.217548","Name: West Cliff<br />State: NSW<br />Longitude: 150.824388<br />Latitude: -34.217550<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.illawarracoal.com'>Illawarra Coal</a><br />"
"32","Berrima",,"150.265701","-34.465153","Name: Berrima<br />State: NSW<br />Longitude: 150.265694<br />Latitude: -34.465153<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.illawarracoal.com'>Illawarra Coal</a><br /><a href='http://www.boral.com.au'>Boral Ltd</a><br /><a href='http://www.deltasbd.com.au'>DeltaSBD</a><br />"
"33","Gregory","BHP","148.356354","-23.172247","Name: Gregory<br />State: QLD<br />Longitude: 148.356348<br />Latitude: -23.172246<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.bmacoal.com'>BMA</a><br />"
"34","Duralie",,"151.949097","-32.291359","Name: Duralie<br />State: NSW<br />Longitude: 151.949100<br />Latitude: -32.291360<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.gloucestercoal.com.au'>Gloucester Coal</a><br />"
"35","Cameby Downs",,"150.287170","-26.578623","Name: Cameby Downs<br />State: QLD<br />Longitude: 150.287178<br />Latitude: -26.578622<br />Commodities: Coal - black<br />Websites:<br /><br />"
"36","Yarrabee",,"149.026367","-23.317678","Name: Yarrabee<br />State: QLD<br />Longitude: 149.026371<br />Latitude: -23.317678<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.felixresources.com.au'>Felix Resources</a><br /><a href='http://yancoalaustralia.com.au'>Yancoal Australia Pty Ltd</a><br />"
"37","Kimbolton",,"146.810257","-42.534115","Name: Kimbolton<br />State: TAS<br />Longitude: 146.810260<br />Latitude: -42.534113<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.tasminerals.com.au'>Tasmanian Minerals Council</a><br />"
"38","Mount Arthur","BHP","150.856140","-32.337021","Name: Mount Arthur<br />State: NSW<br />Longitude: 150.856144<br />Latitude: -32.337022<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.bhpbilliton.com'>BHP Billiton</a><br />"
"39","Cullen Valley",,"150.016159","-33.269287","Name: Cullen Valley<br />State: NSW<br />Longitude: 150.016163<br />Latitude: -33.269288<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://cetresources.com'>CET Resources</a><br />"
"40","Moorvale",,"148.353577","-21.995518","Name: Moorvale<br />State: QLD<br />Longitude: 148.353580<br />Latitude: -21.995517<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.macarthurcoal.com.au'>Macarthur Coal Ltd</a><br />"
"41","Dendrobium","BHP","150.759995","-34.376850","Name: Dendrobium<br />State: NSW<br />Longitude: 150.759992<br />Latitude: -34.376850<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.bhpbilliton.com'>BHP Billiton</a><br />"
"42","Tahmoor",,"150.579498","-34.250801","Name: Tahmoor<br />State: NSW<br />Longitude: 150.579500<br />Latitude: -34.250800<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.illawarracoal.com'>Illawarra Coal</a><br /><a href='http://www.xstrata.com'>Xstrata</a><br />"
"43","Isaac Plains",,"148.108002","-21.992001","Name: Isaac Plains<br />State: QLD<br />Longitude: 148.108000<br />Latitude: -21.992000<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.aquilaresources.com.au'>Aquila Resources Ltd</a><br /><a href='http://www.vale.com'>Vale</a><br />"
"44","Airly",,"150.014771","-33.097755","Name: Airly<br />State: NSW<br />Longitude: 150.014770<br />Latitude: -33.097754<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.centennialcoal.com.au'>Centennial Coal Co Ltd</a><br />"
"45","German Creek",,"148.551010","-22.902571","Name: German Creek<br />State: QLD<br />Longitude: 148.551017<br />Latitude: -22.902571<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.anglocoal.com.au/'>Anglo Coal Australia Pty Ltd</a><br />"
"46","Moolarben",,"149.785004","-32.290001","Name: Moolarben<br />State: NSW<br />Longitude: 149.785000<br />Latitude: -32.290000<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.felixresources.com.au'>Felix Resources</a><br /><a href='http://yancoalaustralia.com.au'>Yancoal Australia Pty Ltd</a><br />"
"47","Newstan Lochiel",,"151.563599","-33.030201","Name: Newstan Lochiel<br />State: NSW<br />Longitude: 151.563600<br />Latitude: -33.030200<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.centennialcoal.com.au'>Centennial Coal Co Ltd</a><br />"
"48","Ravensworth West",,"150.996994","-32.439999","Name: Ravensworth West<br />State: NSW<br />Longitude: 150.997000<br />Latitude: -32.440000<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.xstrata.com'>Xstrata</a><br />"
"49","Abel",,"151.621124","-32.818420","Name: Abel<br />State: NSW<br />Longitude: 151.621127<br />Latitude: -32.818419<br />Commodities: Coal - black<br />Websites:<br /><br />"
"50","Sonoma",,"147.860001","-20.620001","Name: Sonoma<br />State: QLD<br />Longitude: 147.860000<br />Latitude: -20.620000<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.qcoal.com.au'>QCoal Pty Ltd</a><br /><a href='http://www.cliffsnaturalresources.com'>Cliffs Natural Resources</a><br />"
"51","Werris Creek",,"150.639496","-31.406981","Name: Werris Creek<br />State: NSW<br />Longitude: 150.639500<br />Latitude: -31.406980<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.whitehaven.net.au'>Whitehaven Coal Mining</a><br />"
"52","Tarrawonga",,"150.162994","-30.638000","Name: Tarrawonga<br />State: NSW<br />Longitude: 150.163000<br />Latitude: -30.638000<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.whitehaven.net.au'>Whitehaven Coal Mining</a><br />"
"53","Appin",,"150.791794","-34.207851","Name: Appin<br />State: NSW<br />Longitude: 150.791789<br />Latitude: -34.207850<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.illawarracoal.com'>Illawarra Coal</a><br />"
"54","Boggabri",,"150.163345","-30.590410","Name: Boggabri<br />State: NSW<br />Longitude: 150.163344<br />Latitude: -30.590411<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.idemitsu.co.jp/e/'>Idemitsu Kosan Co Ltd</a><br />"
"55","NRE Wongawilli",,"150.735657","-34.474922","Name: NRE Wongawilli<br />State: NSW<br />Longitude: 150.735664<br />Latitude: -34.474921<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.illawarracoal.com'>Illawarra Coal</a><br /><a href='http://www.gujaratnre.com.au'>Gujarat NRE</a><br />"
"56","Integra (Glennies Creek)",,"151.134979","-32.468838","Name: Integra (Glennies Creek)<br />State: NSW<br />Longitude: 151.134981<br />Latitude: -32.468839<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.ame.com.au/mines/co/'>AME Research</a><br /><a href='http://www.integracoal.com.au'>Integra Coal</a><br /><a href='http://integra.valeaustralia.com.au/'>Vale Australia</a><br />"
"57","Liddell",,"150.999878","-32.391602","Name: Liddell<br />State: NSW<br />Longitude: 150.999883<br />Latitude: -32.391601<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.xstrata.com/'>Xstrata plc</a><br /><a href='http://www.liddellcoal.com.au/'>Liddell Coal</a><br />"
"58","Mount Thorley",,"151.108627","-32.637409","Name: Mount Thorley<br />State: NSW<br />Longitude: 151.108624<br />Latitude: -32.637410<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.riotinto.com'>Rio Tinto</a><br /><a href='http://www.coalandallied.com.au/'>Coal and Allied</a><br /><a href='http://www.riotintocoalaustralia.com.au'>Rio Tinto Coal Australia</a><br />"
"59","Myuna",,"151.568741","-33.060112","Name: Myuna<br />State: NSW<br />Longitude: 151.568738<br />Latitude: -33.060111<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.centennialcoal.com.au'>Centennial Coal Co Ltd</a><br />"
"60","Bulga",,"151.109985","-32.686840","Name: Bulga<br />State: NSW<br />Longitude: 151.109984<br />Latitude: -32.686840<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.xstrata.com'>Xstrata</a><br />"
"61","NRE No1",,"150.869995","-34.346848","Name: NRE No1<br />State: NSW<br />Longitude: 150.869989<br />Latitude: -34.346849<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.illawarracoal.com'>Illawarra Coal</a><br /><a href='http://www.gujaratnre.com.au'>Gujarat NRE</a><br />"
"62","Ulan",,"149.749985","-32.246864","Name: Ulan<br />State: NSW<br />Longitude: 149.749983<br />Latitude: -32.246863<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.xstrata.com'>Xstrata</a><br />"
